condition12.thisRepN,condition12.thisTrialN,condition12.thisN,condition12.thisIndex,condition11.thisRepN,condition11.thisTrialN,condition11.thisN,condition11.thisIndex,condition10.thisRepN,condition10.thisTrialN,condition10.thisN,condition10.thisIndex,condition9.thisRepN,condition9.thisTrialN,condition9.thisN,condition9.thisIndex,condition8.thisRepN,condition8.thisTrialN,condition8.thisN,condition8.thisIndex,condition7.thisRepN,condition7.thisTrialN,condition7.thisN,condition7.thisIndex,condition6.thisRepN,condition6.thisTrialN,condition6.thisN,condition6.thisIndex,condition5.thisRepN,condition5.thisTrialN,condition5.thisN,condition5.thisIndex,condition4.thisRepN,condition4.thisTrialN,condition4.thisN,condition4.thisIndex,condition3.thisRepN,condition3.thisTrialN,condition3.thisN,condition3.thisIndex,condition2.thisRepN,condition2.thisTrialN,condition2.thisN,condition2.thisIndex,condition1.thisRepN,condition1.thisTrialN,condition1.thisN,condition1.thisIndex,thisRow.t,notes,InsFrame.started,key_resp.started,InsFrame.stopped,key_resp.keys,key_resp.rt,key_resp.duration,prepare.started,condition,key_resp_6.started,ins_1back.started,pic_01png_2.started,prepare.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,Stim.started,ans,image_bac.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,feedback.started,image_bac_2.started,msg_response.started,fixation_img.started,feedback.stopped,image_bac_2.stopped,msg_response.stopped,fixation_img.stopped,ins_2back.started,pic_02png_2.started,thanks.started,text_3.started,key_resp_3.started,thanks.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,年级,班级,性别,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010717974000726826,0.030358029000126407,0.8624027460000434,space,0.7994419759997982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8624609680000503,"{'i=': 12, 'n=': 1, 'len=': 9, 'fix=': 1}",0.8795259120006449,0.8795259120006449,0.8795259120006449,2.680509368999992,space,1.789765592000549,None,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7248834050005826,,,,,,,,,,,,,,,,,2.6818960450000304,j,2.7248834050005826,3.6630569580001975,j,1,0.9532148870002857,None,3.6639356900004714,3.6892234250008187,3.6892234250008187,3.6892234250008187,4.179651566000757,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.199346164000417,,,,,,,,,,,,,,,,,4.18007846600085,f,4.199346164000417,4.980291976999979,f,1,0.7765423500004545,None,4.980924008000329,4.995003022000674,4.995003022000674,4.995003022000674,5.479495280000265,5.499816955000824,5.499816955000824,5.499816955000824,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.499816955000824,,,,,,,,,,,,,,,,,5.479900183000609,j,5.499816955000824,6.029943129999992,j,1,0.5312887560003219,None,6.030575580000004,6.0460306840004705,6.0460306840004705,6.0460306840004705,6.530352441000105,6.550882100000308,6.550882100000308,6.550882100000308,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.550882100000308,,,,,,,,,,,,,,,,,6.530787204000262,j,6.550882100000308,7.196490683000775,j,1,0.6510413460000564,None,7.197139707000133,7.212854219000292,7.212854219000292,7.212854219000292,7.696037658000023,7.715148512000269,7.715148512000269,7.715148512000269,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.715148512000269,,,,,,,,,,,,,,,,,7.696447522000199,j,7.715148512000269,8.397350958000061,j,1,0.6923013590003393,None,8.39800349699999,8.413079805000052,8.413079805000052,8.413079805000052,8.896037292000074,8.915197035000347,8.915197035000347,8.915197035000347,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.915197035000347,,,,,,,,,,,,,,,,,8.89644754300025,j,8.915197035000347,9.531812229000025,j,1,0.6224334729995462,None,9.532516901000236,9.548434806000841,9.548434806000841,9.548434806000841,10.045518676000029,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.064491191000343,,,,,,,,,,,,,,,,,10.04593225500048,j,10.064491191000343,10.781599607000317,j,1,0.7161787240002013,None,10.782240226000795,10.796358502000658,10.796358502000658,10.796358502000658,11.279456592000315,11.2997043940004,11.2997043940004,11.2997043940004,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2997043940004,,,,,,,,,,,,,,,,,11.27986181200049,j,11.2997043940004,11.94641945100011,j,1,0.6511287550001725,None,11.947049385000355,11.962895331000254,11.962895331000254,11.962895331000254,12.462357587000042,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
